产品简称,return2012,成立日期,投资顾问,投资经理
融兴进取2号,-19.88 ,2010/10/20,金汇海,--
彩瑞五期,-20.01 ,2011/7/29,彩瑞投资,--
岁腾1号,-20.30 ,2009/3/12,凯石益正资产,吴振中 陈继武
智博方略快乐人生1..,-21.29 ,2008/3/21,智博方略,白洁
证大价值,-21.40 ,2007/10/29,证大投资,姜榕
新价值3期,-22.02 ,2008/2/15,新价值,黄云轩 李东辉 罗伟广
新价值12号,-22.50 ,2010/5/14,新价值,黄云轩 范波 罗伟广
猎豹2期,-22.56 ,2011/1/1,鼎祥赢瑞,张德涛
融金29号风格一期,-22.80 ,2011/4/15,风格汇,孙世涛
新价值,-22.91 ,2007/11/15,新价值,陈延泰 张旭 罗伟广
融新293号(金河..,-23.11 ,2010/11/19,金河投资,金贤昌
东海精选2号,-23.60 ,2011/5/3,东海证券,曾祥顺 丁颖 王劲松
长安投资127号,-23.91 ,2011/11/7,黑鹰投资,--
得利宝至尊15号,-23.91 ,2011/2/23,--,杨典
中风投一号,-24.97 ,2010/4/23,汇鑫诚通,刘志博
金股典,-25.05 ,2008/3/20,华银精治,--
亿方博二期,-25.85 ,2011/8/28,亿方博,谢一峰
智博方略2期,-26.49 ,2011/5/13,智博方略,--
德银创鑫1期,-27.22 ,2011/12/31,德银资产,曾革
新价值19期,-30.75 ,2010/11/30,新价值,刘昌春 罗伟广
有道1号,-33.05 ,2011/9/8,有道投资,--
新价值10期,-33.22 ,2010/3/12,新价值,范波 罗伟广
简适亨通,-33.44 ,2009/10/9,简适投资,--
新价值4号,-34.76 ,2009/6/26,新价值,张旭 罗伟广
新价值5号,-35.31 ,2009/8/31,新价值,罗伟广
亿信财富二期,-35.36 ,2011/4/29,涌泉亿信,艾亮
亿信财富一期,-35.67 ,2011/3/9,涌泉亿信,艾亮
新价值8号,-36.57 ,2010/3/25,新价值,李东辉 罗伟广
新价值2期,-38.58 ,2008/2/19,新价值,罗伟广
新价值成长一期A,-39.80 ,2009/12/15,新价值,罗伟广
