产品简称,return2013,成立日期,投资顾问,投资经理
东方红先锋1号,23.12,2010/1/7,东方红,林树财 李竞 顾凌云
朱雀1期,23.1,2007/9/17,朱雀投资,李华轮
朱雀3期,23.05,2009/7/29,朱雀投资,李华轮
归富长乐1号,23,2010/8/31,归富投资,张关心
恒德1期,22.97,2010/7/21,恒德投资,王瑜
从容医疗精选,22.92,2011/3/15,从容投资,吕俊
银石1期,22.83,2010/12/30,银石投资,丘海云
展博1期,22.8,2009/6/15,展博投资,陈锋
谦石2号,22.74,2011/1/30,谦石投资,李追阳
展博精选A号,22.48,2010/12/29,展博投资,陈锋
展博精选B号,22.48,2010/12/29,展博投资,陈锋
淡水泉成长六期,22.38,2009/7/29,淡水泉,赵军
武当1期,22.34,2007/11/12,武当资产,田荣华
爱康1号(鼎锋11..,22.32,2011/1/14,鼎锋资产,李霖君 张高
从容成长1期,22.27,2009/4/8,从容投资,吕俊
从容成长8期,22.24,2010/4/27,从容投资,吕俊
淡水泉精选1期,22.22,2010/7/5,淡水泉,赵军
朱雀4期,22.18,2009/4/15,朱雀投资,梁跃军
睿策2期,22.15,2012/7/30,睿策投资,黄明
武当3期,22.1,2008/6/6,武当资产,田荣华
金狮116号,22.08,2011/10/21,--,--
淡水泉成长十期A,22.04,2010/2/26,淡水泉,赵军
武当12期,22.02,2009/6/10,武当资产,田荣华
智德精选3期,21.97,2010/5/13,智德投资,伍军
金狮182号,21.92,2011/5/20,--,--
朱雀5期,21.9,2009/5/15,朱雀投资,梁跃军
淡水泉成长七期,21.84,2009/7/31,淡水泉,赵军
精英之淡水泉A,21.82,2009/9/21,淡水泉,赵军
投资精英之云程泰A,21.8,2012/2/28,云程泰,魏上云
朱雀18期,21.69,2010/9/30,朱雀投资,李华轮
建源智信2号,21.59,2012/4/20,建元阳光,--
从容优势7期,21.59,2010/12/30,从容投资,吕俊
智德二期,21.48,2009/1/22,智德投资,伍军
朱雀1期,21.45,2008/12/17,朱雀投资,张延鹏
铭远2期,21.33,2010/1/31,铭远投资,韩跃峰
中广添合赢,21.08,2012/10/15,盈峰资本,宋曦
源乐晟策略创新1期,21.03,2011/9/30,源乐晟,曾晓洁
泽里和1号,21,2011/8/15,泽里和,周建新
悟空同创量化1期,20.92,2012/6/7,悟空投资,鲍际刚
凯石三期A,20.91,2010/1/11,凯石益正资产,程俊豪
金狮151号,20.85,2012/8/22,--,--
鼎诺风险缓冲6期,20.83,2012/9/27,鼎诺投资,黄弢
朴石1期,20.7,2012/9/18,朴石投资,--
中行TOT成长组合..,20.69,2011/5/11,鼎锋资产,张高
新同方,20.61,2007/7/12,新同方,王连恒 刘迅
睿信5期,20.37,2010/9/28,睿信投资,李振宁
鼎力超级成长,20.31,2010/11/11,鼎力投资,郝继伦 沈浩森 龙苏云
武当7号,20.3,2009/4/22,武当资产,田荣华
世诚投资六号,20.27,2012/12/14,世诚投资,陈家琳
金中和6期,20.19,2009/8/20,金中和投资,王阳 曾军
和聚9期,20.12,2011/7/1,北京和聚投资,李泽刚
从容成长2期,20.07,2009/6/18,从容投资,吕俊
东方远见1期,20.06,2010/5/5,东方远见,许勇
新价值16号,20.05,2010/6/25,新价值,罗伟广
银石2期,20.05,2012/12/20,银石投资,丘海云
和聚8期,20.04,2011/9/23,北京和聚投资,李泽刚
广金成长,19.96,2007/12/25,广金投资,刘壮华 梁月广
弘酬精选1期,19.85,2011/5/13,智德投资,伍军
从容稳健1期,19.83,2009/5/8,从容投资,吕俊
银信宝,19.82,2008/1/4,恒运盛投资,张安东
东方远见6期,19.82,2010/9/13,东方远见,许勇
建信稳健增值2期,19.82,2010/11/10,从容投资,吕俊
淡水泉成长九期,19.77,2009/11/3,淡水泉,赵军
泰瓴-泰九1期,19.75,2010/10/19,泰瓴资产,张林涛 文江
从容成长3期,19.66,2009/6/12,从容投资,吕俊
六禾财富竹溪,19.6,2010/7/5,六禾投资,王志强 徐志云 夏晓辉
投资精英之朱雀A,19.57,2009/10/10,朱雀投资,李华轮
泽泉涨停板1号,19.54,2012/5/7,泽泉投资,辛宇
鑫富越1号,19.53,2012/8/2,鑫富越资产,王国卫
鸿道4期,19.49,2011/6/21,鸿道投资,孙建冬
诚信海外配置4号,19.41,2012/2/24,--,--
智德持续增长,19.33,2008/6/20,智德投资,伍军
浙商金惠3号,19.27,2010/12/1,浙商证券资产,陈旻 周良
武当8号,19.21,2009/4/30,武当资产,田荣华
泰瓴3期,19.2,2010/11/15,泰瓴资产,文江 张林涛
国轩,19.19,2008/4/28,南方汇金,徐伟
大成灵活配置2期,19.16,2008/2/5,大成基金,杨建华
汇利优选6期(富锦..,19.04,2010/6/7,汇利资产,周小峰 何震
立华合伙1期,19,2008/9/26,立华投资,王政
朱雀10期,18.97,2009/11/12,朱雀投资,李华轮
朱雀20期,18.95,2011/3/17,朱雀投资,李华轮
武当9号,18.9,2009/5/8,武当资产,田荣华
天弓2号,18.8,2012/9/17,汇谷投资,陈捷
新价值11号,18.79,2010/7/16,新价值,罗伟广
朱雀12期,18.67,2009/11/23,朱雀投资,王欢
得利宝至尊8号,18.66,2010/8/16,尚雅投资,常昊 石波
得利宝至尊11号,18.56,2010/11/12,朱雀投资,李华轮
汇利优选9期,18.56,2010/10/8,汇利资产,侯逸 何震
朱雀9期,18.48,2010/1/7,朱雀投资,李华轮
世通1期,18.43,2008/2/18,康庄资产,常士杉
武当13期,18.41,2009/8/13,武当资产,田荣华
鼎诺秋实1期,18.37,2009/12/7,鼎诺投资,黄弢
鼎润1期,18.34,2011/1/12,鼎润投资,陈宇杰
双赢11期(鼎锋),18.31,2011/8/4,鼎锋资产,张高
新价值2期,18.26,2010/2/9,新价值,李涛 范波 罗伟广
从容稳健3期,18.23,2009/3/25,从容投资,吕俊
泰瓴-泰九2期,18.18,2010/10/29,泰瓴资产,文江 张林涛
朱雀13期,18.11,2009/12/10,朱雀投资,张延鹏
投资精英之尚雅A,18.09,2010/8/31,尚雅投资,常昊 石波
双赢9期(从容),18.01,2009/9/29,外贸信托,--
瀚信经典1期,17.94,2010/6/24,瀚信资产,陈鹏 李君 蒋国云
得利宝至尊13号,17.87,2010/12/22,从容投资,吕俊
朱雀19期,17.87,2011/4/21,朱雀投资,洪露 李华轮
禾木1号,17.84,2011/9/26,禾木资产,--
东方远见5期,17.61,2010/11/22,东方远见,许勇
展博5期,17.52,2012/6/8,展博投资,易晓明 陈锋
金蕴21期(泓璞1..,17.51,2012/12/25,泓璞资产,杨飞穹
金瀛2期,17.44,2011/1/31,金瀛投资,--
和聚鼎宝1期,17.42,2011/9/29,北京和聚投资,李泽刚
华夏优选1号,17.29,2009/11/30,东方远见,许勇
泰达鼎晟2期(业绩..,17.28,2012/3/21,泰达鼎晟,邓继军
汇信华安1号,17.27,2011/11/30,华安基金,--
从容内需医疗,17.27,2011/6/10,从容投资,吕俊
凯石风险缓冲1期,17.27,2011/7/29,凯石益正资产,--
平安价值投资一期,17.24,2006/6/12,惠理基金,谢清海
惠理价值一期,17.24,2011/5/16,惠理基金,谢清海
惠理价值二期,17.24,2011/8/11,惠理基金,谢清海
春天1号(上善御富..,17.12,2010/8/9,上善御富,康晓云 刘鹰
国泰君安君享富利,17.12,2010/10/27,国泰君安资产,顾颉 徐志敏 唐洁 张骏
国金慧泉量化专享1..,17.11,2012/12/28,国金证券,--
金狮155号,17,2012/8/16,--,--
融新85号(超盛一..,16.99,2010/11/18,超盛投资,林超航
智德1期,16.97,2011/3/15,智德投资,伍军
宝晟1期,16.97,2011/3/7,--,--
融裕33号六禾财富..,16.93,2010/11/1,六禾投资,赵立坚 王志强 夏晓辉
大包巷1号,16.86,2011/9/15,大包巷投资,包周荣
汇信华安2号,16.83,2012/2/8,华安基金,--
从容成长7期,16.83,2010/10/11,从容投资,吕俊
尚雅2期,16.79,2007/12/29,尚雅投资,常昊 石波
泰达鼎晟1期,16.73,2011/11/4,泰达鼎晟,邓继军
新价值2期,16.69,2008/2/19,新价值,罗伟广
鸿道2期,16.69,2010/10/28,鸿道投资,孙建冬
东方远见7期,16.6,2011/4/29,东方远见,许勇
博观1期,16.58,2012/12/28,--,--
双赢13期(鸿道),16.4,2011/6/10,鸿道投资,孙建冬
鸿道3期,16.36,2010/11/3,鸿道投资,孙建冬
富锦8号(尚雅),16.36,2010/8/27,尚雅投资,常昊 石波
同威增值4期,16.34,2010/7/16,同威资产,李驰
从容稳健2期,16.34,2009/3/18,从容投资,吕俊
磐信1期,16.26,2012/3/8,磐信投资,张伟 庄涛
紫晶石(上信-T-..,16.24,2010/3/24,--,--
精英之从容A,16.24,2009/9/17,从容投资,吕俊
双赢3期(朱雀),16.23,2010/7/22,--,--
朱雀16期,16.18,2010/8/18,朱雀投资,李华轮
升阳1期,16.07,2010/8/19,升阳资产,--
世通5期,16.07,2011/4/11,康庄资产,常士杉
成长组合(鸿道),16.04,2012/4/23,鸿道投资,孙建冬
合赢,15.98,2007/10/9,盈峰资本,张冰 钱晓宇
长安投资55号,15.97,2011/7/22,世泽投资,雷磊
浙商金惠海宁钱潮,15.94,2011/3/3,浙商证券资产,耿广棋 刘俊 周良
六禾光辉岁月1期,15.89,2009/2/6,六禾投资,王志强 陈信余 夏晓辉
合赢2期,15.84,2010/6/4,盈峰资本,张冰 曾昭雄
金蕴12期,15.66,2012/6/4,泽升投资,周小新
投资精英之智德A,15.66,2010/4/8,智德投资,伍军
朱雀17期,15.54,2010/10/8,朱雀投资,时红
六禾财富瓯越,15.5,2010/11/29,六禾投资,王志强 徐志云 夏晓辉
至尊6号六禾成长,15.47,2010/3/5,六禾投资,王志强 陈信余 夏晓辉
呈瑞5期,15.39,2011/7/7,呈瑞投资,杨类禹 沈守传
朱雀11期,15.33,2009/12/8,朱雀投资,李华轮
彩瑞3期,15.16,2010/8/6,彩瑞投资,--
呈瑞优势1期,14.96,2011/10/11,呈瑞投资,沈守传
德谷3期,14.96,2011/8/19,--,--
和禄1号,14.9,2009/6/10,理想投资,于水
从容医疗3期,14.9,2011/2/11,从容投资,吕俊
六禾财富东莞,14.82,2010/12/22,六禾投资,赵立坚 王志强 夏晓辉
远策4期,14.82,2009/11/3,远策投资,张益驰
